"loss","learning_rate","epoch","perplexity","steps","samples"
1.2772,5e-05,0.16,3.5865832200157115,9350,74800
1.2915,5e-05,0.16,3.638239824515523,9400,75200
1.2898,5e-05,0.16,3.6320600710925466,9450,75600
1.2575,5e-05,0.16,3.516618941414067,9500,76000
1.2957,5e-05,0.17,3.6535525660259363,9550,76400
1.2448,5e-05,0.17,3.4722402818310236,9600,76800
1.2308,5e-05,0.17,3.42396761500416,9650,77200
1.3008,5e-05,0.17,3.672233279441449,9700,77600
1.2963,5e-05,0.17,3.655745355336561,9750,78000
1.2607,5e-05,0.17,3.527890146336374,9800,78400
1.2279,5e-05,0.17,3.414052492796696,9850,78800
1.2172,5e-05,0.17,3.37771687335919,9900,79200
1.2291,5e-05,0.17,3.4181518148893897,9950,79600
1.2755,5e-05,0.17,3.5804912082188722,10000,80000
1.2883,5e-05,0.17,3.6266160650112194,10050,80400
1.2277,5e-05,0.17,3.4133697505746348,10100,80800
1.207,5e-05,0.18,3.3434392741929435,10150,81200
1.2382,5e-05,0.18,3.4493989552625703,10200,81600
1.2302,5e-05,0.18,3.4219138506260838,10250,82000
1.1909,5e-05,0.18,3.2900409121371226,10300,82400
1.2942,5e-05,0.18,3.6480763453691814,10350,82800
1.2322,5e-05,0.18,3.4287645267198714,10400,83200
1.2481,5e-05,0.18,3.4837176019235527,10450,83600
1.2435,5e-05,0.18,3.4677293022366764,10500,84000
1.2465,5e-05,0.18,3.4781481105417384,10550,84400
1.2624,5e-05,0.18,3.5338926602763894,10600,84800
1.2084,5e-05,0.18,3.3481233672769033,10650,85200
1.2355,5e-05,0.18,3.440098139834434,10700,85600
1.2269,5e-05,0.19,3.41064014676128,10750,86000
1.2038,5e-05,0.19,3.3327573686795717,10800,86400
1.2126,5e-05,0.19,3.3622150572536396,10850,86800
1.2647,5e-05,0.19,3.5420299677113793,10900,87200
1.232,5e-05,0.19,3.4280788423852466,10950,87600
1.1934,5e-05,0.19,3.298276304368488,11000,88000
1.2283,5e-05,0.19,3.415418386954434,11050,88400
1.1896,5e-05,0.19,3.285766637831603,11100,88800
1.1659,5e-05,0.19,3.208809512586072,11150,89200
1.1903,5e-05,0.19,3.28806747967878,11200,89600
1.2055,5e-05,0.19,3.338427874770858,11250,90000
